Company,Latitude,Longitude
23andMe,37.3952084,-122.0791594
Adobe,37.7712057,-122.4016624
Airbnb,37.7701381,-122.4063532
Apple,37.33182,-122.03118
Cisco,39.3016,-120.5469
eBay,37.2951452,-121.9261113
Facebook,37.4843768,-122.1483041
Google,37.7899545,-122.39
HP Inc.,37.412028,-122.1497801
HPE,37.4102957,-122.0364812
Intel,32.939795,-117.1026021
Intuit,37.4312189,-122.0979909
LinkedIn,37.7864032,-122.3983216
Lyft,37.776503,-122.3920385
MobileIron,37.3965606,-122.0548388
Nvidia,37.3707747,-121.9627149
Pinterest,37.7752344,-122.3996591
Salesforce,37.7905027,-122.3972152
Square,37.7752315,-122.4175278
Twitter,37.7768337,-122.4163755
Uber,37.7752315,-122.4175278
